"","country","gdp","lifeExp"
"54","Croatia",-0.488796408520224,-0.190354729898623
"55","Cuba",-0.481734341494492,-0.165474724513263
"56","Cyprus",-0.273322648383738,-0.158968164839314
"57","Czech Rep.",-0.313546711747868,-0.183140202591757
"58","Denmark",0.0799014404734506,-0.164058789247429
"59","Djibouti",-0.93485085618666,-0.361694134645954
"60","Dominica",-0.745836310663895,-0.381933018882194
"61","Dominican Rep.",-0.709314194463998,-0.231326951955997
"62","Ecuador",-0.736737936646881,-0.196838814409623
"63","Egypt",-0.725108948919715,-0.256555322367078
"64","El Salvador",-0.804547271421357,-0.240350729880316
"65","Equatorial Guinea",-0.0943588039221557,-0.459899359154836
"66","Eritrea",-0.96999122814286,-0.349883436515867
"67","Estonia",-0.343543910390243,-0.219651104803607
"68","Ethiopia",-0.966142907395053,-0.341084410221044
"69","Faeroe Islands",0.0245335323755909,-0.280794785608371
"70","Falkland Islands (Malvinas)",-0.32292445725463,-0.269557204133502
"71","Fiji",-0.799798306578729,-0.271692344613727
"72","Finland",-0.0313570775669264,-0.151169283295755
"73","France",-0.0657754921497039,-0.136841366915296
"74","French Guiana",-0.787238589729403,-0.189534386450958
"75","French Polynesia",-0.307322689173184,-0.199243656845245
"76","Gabon",-0.508486747591176,-0.342826235349649
"77","Gambia",-0.957814762877236,-0.395215840185489
"78","Georgia",-0.820830723061312,-0.221224366210089
"79","Germany",0.0720366575675688,-0.148831866348982
"80","Ghana",-0.903317968558628,-0.369212076652642
"81","Gibraltar",0.0566600978954745,-0.14594380790994
"82","Greece",-0.369106879197686,-0.14852845164916
"83","Greenland",0.0877402618597711,-0.252700831921198
"84","Grenada",-0.69788896509717,-0.238451578611064
"85","Guadeloupe",-0.797990944184296,-0.146539399728108
"86","Guam",-0.997665308705107,-0.17005965775501
"87","Guatemala",-0.816830653599105,-0.245969520617751
"88","Guernsey",0.259401495947646,-0.0672807375858558
"89","Guinea",-0.96847590476151,-0.425624735656485
"90","Guinea-Bissau",-0.968617046826997,-0.446088371522222
"91","Guyana",-0.835902274861668,-0.311192443497892
"92","Haiti",-0.957994341684049,-0.347074041147149
"93","Holy See",-0.997483721604393,-0.0110928302115099
"94","Honduras",-0.884723916748981,-0.226663355643926
"95","Hong Kong- China",0.334692938232092,-0.119220839162701
"96","Hungary",-0.415662227036632,-0.217639577719606
"97","Iceland",0.0232984863989285,-0.133739794428232
"98","India",-0.865185475024497,-0.309855171302382
"99","Indonesia",-0.760740075934811,-0.260196298764936
"100","Iran",-0.625280451841451,-0.224067474323231
"101","Iraq",-0.618169848418073,-0.276086238970401
"102","Ireland",0.0651796218566081,-0.149236419282077
"103","Isle of Man",0.0283471986811596,0.101282984537182
"104","Israel",-0.20010206486302,-0.13694250514857
"105","Italy",-0.162640908598053,-0.130379757567246
"106","Jamaica",-0.782162848424604,-0.229944729434588
"107","Japan",-0.0804062569417975,-0.116950847704778
"108","Jersey",0.608443480424882,0.157470891911528
"109","Jordan",-0.703341483986352,-0.226247565129356
"110","Kazakhstan",-0.417426885959558,-0.308484186362448
"111","Kenya",-0.943825774258929,-0.362649329071318
"112","Kiribati",-0.953870907105463,-0.281862355848483
"113","Korea- Dem. Rep.",-0.963894664811989,-0.269568441714977
"114","Korea- Rep.",-0.217050275294221,-0.139931701820885
"115","Kosovo",-0.780172154440664,0.236133962235613
"116","Kuwait",1,-0.221370454769262
"117","Kyrgyzstan",-0.918670206229526,-0.297280317632004
"118","Laos",-0.879515778062722,-0.288559954407505
"119","Latvia",-0.421723947035071,-0.245396403962533
"120","Lebanon",-0.571175550263714,-0.157102726314485
"121","Lesotho",-0.933381453316711,-0.500534453767963
"122","Liberia",-0.979019579927442,-0.375684923582166
"123","Libya",-0.455719311193842,-0.209717082779823
"124","Liechtenstein",1,0.337272195509436
"125","Lithuania",-0.366029756009155,-0.245845907221528
"126","Luxembourg",1,-0.151034432318056
"127","Macao- China",1,-0.152686356794862
"128","Macedonia- FYR",-0.688390876260294,-0.211144255627132
"129","Madagascar",-0.964441921931045,-0.328857921576386
"130","Malawi",-0.980463853577129,-0.434626038417855
"131","Malaysia",-0.408803686881276,-0.213178257874083
"132","Maldives",-0.708291604388802,-0.180566796434012
"133","Mali",-0.95875824028663,-0.437761323649344
"134","Malta",-0.243082782126001,-0.159990784753527
"135","Marshall Islands",-0.9083264813259,0.460885591732997
"136","Martinique",-0.620583478268621,-0.141336399505244
"137","Mauritania",-0.920985894759501,-0.364514767596146
"138","Mauritius",-0.569440849535418,-0.228955822264799
"139","Mayotte",-0.750529889244382,-0.166283830379454
"140","Mexico",-0.580822524000104,-0.185264105490508
"141","Micronesia- Fed. Sts.",-0.910569648751372,-0.280873448678695
"142","Moldova",-0.88285148521447,-0.281929781337333
"143","Monaco",0.116587722924046,0.55078624353195
"144","Mongolia",-0.765359047722092,-0.29761744507625
"145","Montenegro",-0.63234442758819,-0.215380823843157
"146","Montserrat",-0.699119968813362,0.584498987956558
"147","Morocco",-0.817279046988264,-0.25898263996565
"148","Mozambique",-0.973735919114073,-0.491499438262168
"149","Myanmar",-0.908545526409973,-0.323767297168271
"150","Namibia",-0.752280531940614,-0.331554941130355
"151","Nauru",-0.791154882644484,0.640686895330904
"152","Nepal",-0.943659393002904,-0.287424958678544
"153","Netherlands",0.0896919860505918,-0.145516779813895
"154","Netherlands Antilles",-0.420552564237281,-0.192085317445753
"155","New Caledonia",-0.0804152159962531,-0.198693015352976
"156","New Zealand",-0.153616490002356,-0.144460447155258
"157","Nicaragua",-0.885828891930131,-0.215178547376609
"158","Niger",-0.976764621432529,-0.399812011008711
"159","Nigeria",-0.854202055084764,-0.466147454454863
"160","Niue",-0.853961415623724,0.741825128604727
"161","Norfolk Island",-0.995667850597254,0.753062710079596
"162","Northern Cyprus",-0.818478220331862,0.764300291554465
"163","Northern Mariana Islands",-0.739078379132303,0.775537873029335
"164","Norway",0.622735578198405,-0.140291304428081
"165","Oman",0.24802738115824,-0.195928570310158
"166","Pakistan",-0.885200848350064,-0.308102108592303
"167","Palau",-0.614542980495559,0.820488198928812
"168","Panama",-0.541767087858815,-0.18464603850939
"169","Papua New Guinea",-0.937091335777676,-0.354726834131535
"170","Paraguay",-0.792263703068998,-0.244171507581772
"171","Peru",-0.68978488111888,-0.215324635935783
"172","Philippines",-0.835916640201291,-0.284132347306407
"173","Pitcairn",-0.995356558424601,0.887913687778027
"174","Poland",-0.416056078203574,-0.19754678204254
"175","Portugal",-0.35809397014678,-0.157799456365927
"176","Puerto Rico",-0.13068264080844,-0.169947281940261
"177","Qatar",1,-0.175509884770321
"178","Reunion",-0.801055181384765,-0.161159493226913
"179","Romania",-0.535335695496563,-0.226506029503278
"180","Russia",-0.388815540845761,-0.292268356294212
"181","Rwanda",-0.962994341423259,-0.336241012605375
"182","Saint Barthélemy",-0.995123089295112,0.98905192105185
"183","Saint Helena",-0.933460492855485,1
"184","Saint Kitts and Nevis",-0.503149333002956,1
"185","Saint Lucia",-0.743921795744856,-0.21557186272823
"186","Saint Martin",-0.995019325237561,1
"187","Saint-Pierre-et-Miquelon",-0.822082596987093,1
"188","Saint Vincent and the Grenadines",-0.73039831820415,-0.241598101424027
"189","Samoa",-0.872281118262221,-0.234091396998814
"190","San Marino",-0.137917951136602,1
"191","Sao Tome and Principe",-0.931479642330875,-0.310720465075947
"192","Saudi Arabia",0.326939233148514,-0.207986495232693
"193","Senegal",-0.943016725645589,-0.34315212521242
"194","Serbia",-0.691502722890715,-0.223943860927007
"195","Serbia excluding Kosovo",-0.994759915093684,1
"196","Seychelles",-0.386114728449969,-0.233743031973093
"197","Sierra Leone",-0.953179039776993,-0.54419245779783
"198","Singapore",0.909504729072201,-0.131087725200163
"199","Slovak Republic",-0.332458755577496,-0.208907976913632
"200","Slovenia",-0.299034565973338,-0.161777560208031
"201","Solomon Islands",-0.948293342029558,-0.295684581062573
"202","Somalia",-0.983968453108399,-0.437559047182796
"203","South Africa",-0.687619807820021,-0.41658972015069
"204","South Sudan",-0.945175020669527,-0.435154204747174
"205","Spain",-0.198105148379855,-0.133582468287584
"206","Sri Lanka",-0.763157307515181,-0.221314266861888
"207","Sudan",-0.917261072604227,-0.358839788951337
"208","Suriname",-0.586228688497984,-0.25810610861061
"209","Svalbard",-0.994344858863481,1
"210","Swaziland",-0.838368865328643,-0.505546415105755
"211","Sweden",0.0926159513211458,-0.136751466263497
"212","Switzerland",0.348420949302543,-0.12791872722425
"213","Syria",-0.885054962151298,-0.258319622658632
"214","Taiwan",0.0431750224810827,-0.159990784753527
"215","Tajikistan",-0.936470152899954,-0.300483028352342
"216","Tanzania",-0.955125083471972,-0.364739519225644
"217","Thailand",-0.639771523994224,-0.220100608062602
"218","Timor-Leste",-0.94617779243721,-0.29722412972463
"219","Togo",-0.965603372566598,-0.420848763529666
"220","Tokelau",-0.976953152280813,-0.280794785608371
"221","Tonga",-0.866122658563343,-0.239519148851176
"222","Trinidad and Tobago",-0.239160450923562,-0.271074277632609
"223","Tunisia",-0.720937880342253,-0.203558888131595
"224","Turkey",-0.519029165056973,-0.210458763157164
"225","Turkmenistan",-0.650664626902446,-0.320665724681207
"226","Turks and Caicos Islands",-0.458419470452805,1
"227","Tuvalu",-0.870867871798187,1
"228","Uganda",-0.964685031806412,-0.390821945828815
"229","Ukraine",-0.783334119393436,-0.286132636808934
"230","United Arab Emirates",0.507093454259083,-0.192680909263921
"231","United Kingdom",-0.0906496317343989,-0.151034432318056
"232","United States",0.335171572075596,-0.169081988166696
"233","Uruguay",-0.516122004122246,-0.188309490070197
"234","Uzbekistan",-0.871314766635,-0.289324109947797
"235","Vanuatu",-0.927840480026245,-0.251284896655364
"236","Venezuela",-0.544960209707109,-0.217493489160433
"237","Vietnam",-0.867061739060808,-0.202749782265404
"238","Virgin Islands (U.S.)",-0.993540687417462,-0.155473277000629
"239","Wallis et Futuna",-0.902021688183716,1
"240","West Bank and Gaza",-0.897701947066825,-0.233563230669495
"241","Western Sahara",-0.993462864374299,-0.294684436311309
"242","Yemen- Rep.",-0.893259158596004,-0.346961665332401
"243","Zambia",-0.920384582359966,-0.403228235777071
"244","Zimbabwe",-0.962549404554638,-0.383382666892452
