"","country","gdp","lifeExp","X","Y","Z"
"1","Afghanistan",-0.950565471644519,-0.371291029225493,-0.341118051452596,0.766163687805082,0.544639035015027
"2","Albania",-0.753862992767179,-0.186489001871268,-0.709195023371769,0.258125878797048,0.656059028990507
"3","Algeria",-0.663918631181684,-0.258319622658632,-0.881737543869381,0.0462099065846774,0.469471562785891
"4","American Samoa",-0.655893455814381,-1,0.954152528630935,-0.168242834508841,-0.247562720827719
"5","Andorra",-0.179492385787272,-0.988762418525131,-0.737024690280712,0.0192996707342452,0.67559020761566
"6","Angola",-0.810154713723004,-0.472968666410109,-0.925844598035193,0.309783269088854,-0.216439613938103
"7","Anguilla",-0.517507932290988,-0.966287255575392,-0.430498276155787,-0.846726309261577,0.312611246488613
"8","Antigua and Barbuda",-0.481152005680375,-0.20264864403213,-0.451781804064596,-0.842569503855549,0.29320612662213
"9","Argentina",-0.542722528968996,-0.198704252934451,-0.363426151412187,-0.745134034370785,-0.559192903470747
"10","Armenia",-0.805439039857423,-0.218302595026623,-0.541675220419702,0.541675220419702,0.642787609686539
"11","Aruba",-0.0657218176675392,-0.20825619718809,-0.334446570655018,-0.917223737642797,0.216439613938103
"12","Australia",0.110818863967007,-0.129132386023536,0.640856382055789,0.640856382055789,-0.422618261740699
"13","Austria",0.117720494938463,-0.144404259247883,-0.6594636504684,0.156295752262945,0.735309004116944
"14","Azerbaijan",-0.567665957964995,-0.261095305282925,-0.513722824171912,0.560630085212122,0.649448048330184
"15","Bahamas",-0.404149538028009,-0.210705989949612,-0.221006648829364,-0.886409253309465,0.4067366430758
"16","Bahrain",0.0837470418600703,-0.195299265747566,-0.571703317366224,0.693531581526958,0.438371146789077
"17","Bangladesh",-0.935903646765461,-0.262174113104513,5.59385260288808e-17,0.913545457642601,0.4067366430758
"18","Barbados",-0.60593113242824,-0.209211391613454,-0.4937078078083,-0.839265662996728,0.227784431917078
"19","Belarus",-0.557122273613705,-0.270366309999692,-0.53137112603844,0.282535039427219,0.798635510047293
"20","Belgium",0.0196884317006867,-0.151023194736581,-0.630039862681337,0.0440566789946331,0.775312053607092
"21","Belize",-0.782374245890812,-0.225932912848059,-0.0208336502940462,-0.954792675572259,0.296541574975571
"22","Benin",-0.955020998444708,-0.389462198470356,-0.985525211082149,0.0387213910021742,0.165047605860678
"23","Bermuda",0.426328034237359,-0.786485951977485,-0.36042960644253,-0.764220116542873,0.53484400741794
"24","Bhutan",-0.799985962079334,-0.288728518129629,0.00774053152317196,0.886977058523647,0.461748613235034
"25","Bolivia",-0.846754816825899,-0.300348177374643,-0.404151853659462,-0.866706447109482,-0.292371704722737
"26","Bosnia and Herzegovina",-0.759741869233254,-0.197973810138585,-0.681884628613977,0.219366878570842,0.69779045984168
"27","Botswana",-0.616372564451086,-0.521593681451868,-0.847024598739046,0.377119648520576,-0.374606593415912
"28","Brazil",-0.623128931344023,-0.225314845866942,-0.564862521463624,-0.806707284111599,-0.17364817766693
"29","British Virgin Islands",0.264368994541881,-0.71906046312827,-0.408263856932072,-0.855942975989987,0.317304656405092
"30","Brunei",0.768373754269165,-0.173509595267795,0.41605194457692,0.905949750102803,0.078459095727845
"31","Bulgaria",-0.586469619928085,-0.229675027479191,-0.662831554855533,0.30908343009592,0.681998360062498
"32","Burkina Faso",-0.958753743472676,-0.423017616754315,-0.973776504868366,-0.0340050248629879,0.224951054343865
"33","Burundi",-0.980364809270273,-0.448189799258022,-0.864410091834597,0.499067399210933,-0.061048539534857
"34","Cambodia",-0.922757778472091,-0.248025998027652,0.252185529744196,0.941169209939011,0.224951054343865
"35","Cameroon",-0.932420240531897,-0.437390483460673,-0.972789205831713,0.2067727288213,0.104528463267653
"36","Canada",0.0620649111508729,-0.140527293639053,0.0522642316338265,-0.497260947684137,0.866025403784439
"37","Cape Verde",-0.83982762538772,-0.212324201681993,-0.878156255930274,-0.390980355323302,0.275637355816999
"38","Cayman Islands",0.288887454595665,-0.617922229854447,-0.152875633847,-0.930162362872398,0.333806859233771
"39","Central African Rep.",-0.984743136928115,-0.492297306546884,-0.926621659567462,0.355696729192779,0.121869343405147
"40","Chad",-0.947201933974001,-0.48102601232759,-0.913300811407433,0.314474688607436,0.258819045102521
"41","Chile",-0.435083843813018,-0.157687080551179,-0.281950292423114,-0.818843106219086,-0.5
"42","China",-0.701095882551926,-0.209649657290974,0.212012149896655,0.791240115236224,0.573576436351046
"43","Christmas Island",-0.998806713338166,-0.550496741005232,0.265518484097642,0.946726015197159,-0.182235525492148
"44","Colombia",-0.687186031730097,-0.22417985013798,-0.30826424450779,-0.948739790421392,0.0697564737441255
"45","Comoros",-0.960609946498139,-0.372111372673158,-0.700212850115243,0.682117159047417,-0.210756128894439
"46","Congo- Dem. Rep.",-0.98772685557559,-0.494724624145456,-0.90630778703665,0.422618261740699,6.12323399573677e-17
"47","Congo- Rep.",-0.850981080919857,-0.395496779722361,-0.965778711107158,0.258779625708334,-0.0174524064372835
