"","SHORT_NAME","LAT","LONG","X","Y","Z"
"44","Cape Verde",74,336,0.878156255930274,-0.390980355323302,0.275637355816999
"45","Cayman Islands",70.5,279.333333,0.152875633846999,-0.930162362872399,0.333806859233771
"46","Central African Republic",83,21,0.926621659567462,0.355696729192779,0.121869343405147
"47","Chad",75,19,0.913300811407433,0.314474688607436,0.258819045102521
"48","Chile",120,289,0.281950292423113,-0.818843106219086,-0.5
"49","China",55,105,-0.212012149896655,0.791240115236224,0.573576436351046
"50","Christmas Island",100.5,105.666667,-0.265518484097642,0.946726015197159,-0.182235525492148
"51","Clipperton Island",79.716667,250.783333,-0.32385435171707,-0.929112692929478,0.178516001275095
"52","Cocos (Keeling) Islands",102,96.833333,-0.116381592370687,0.971199286335489,-0.207911690817759
"53","Colombia",86,288,0.30826424450779,-0.948739790421392,0.0697564737441255
"54","Comoros",102.166667,44.25,0.700212850115243,0.682117159047417,-0.210756128894439
"55","Cook Islands",106.083333,198.416667,-0.91164853321901,-0.303559670997154,-0.277035156656566
"56","Coral Sea Islands",107.5,151,-0.834139640157292,0.462371152714743,-0.300705799504273
"57","Costa Rica",80,276,0.102940441036436,-0.979412873099072,0.17364817766693
"58","Cote d'Ivoire",82,355,0.986499799769905,-0.0863075490504607,0.139173100960066
"59","Croatia",44.833333,15.5,0.67940466193878,0.188415588104301,0.70916068101324
"60","Cuba",68,280.5,0.168965836964813,-0.911658075216858,0.374606593415912
"61","Curaçao",77.833333,291,0.350318529280194,-0.912610969787451,0.210756128894439
"62","Cyprus",55,33,0.686998710217504,0.446142178932143,0.573576436351046
"63","Czech Republic",40.25,15,0.624107838921811,0.167229191429032,0.763232469782529
"64","Democratic Republic of the Congo",90,25,0.90630778703665,0.422618261740699,6.12323399573677e-17
"65","Denmark",34,10,0.550697506767399,0.0971028286519749,0.829037572555042
"66","Djibouti",78.5,42.5,0.722476276497293,0.662027534642501,0.199367934417197
"67","Dominica",74.5,298.666667,0.462266169650455,-0.845513831198374,0.267238376078257
"68","Dominican Republic",71,289.333333,0.313026606121021,-0.892199372709775,0.325568154457157
"69","Ecuador",92,282.5,0.216307764773294,-0.975701273971031,-0.0348994967025007
"70","Egypt",63,30,0.7716342848848,0.445503262094184,0.453990499739547
"71","El Salvador",76.166667,271.083333,0.0183582217068235,-0.970821782521519,0.239098394552332
"72","Equatorial Guinea",88,10,0.984207834737688,0.173542395888912,0.0348994967025011
"73","Eritrea",75,39,0.750665354967537,0.607876818725374,0.258819045102521
"74","Estonia",31,26,0.462913155346541,0.225777831538359,0.857167300702112
"75","Ethiopia",82,38,0.780341887121718,0.609669900169325,0.139173100960066
"76","Europa Island",112.333333,40.366667,0.704763063719309,0.599093744009917,-0.379994355096432
"77","Falkland Islands",141.75,300.833333,0.317311957916648,-0.531592362092563,-0.785316930880745
"78","Faroe Islands",28,353,0.465972192948173,-0.0572141911041053,0.882947592858927
"79","Federated States of Micronesia",85,152,-0.879587710698932,0.467685081752151,0.0871557427476581
"80","Fiji",108,178,-0.950477158362114,0.0331913937543345,-0.309016994374947
"81","Finland",26,26,0.394005376803361,0.192169262337171,0.898794046299167
"82","France",44,2,0.694235203348755,0.0242432275091985,0.719339800338651
"83","French Guiana",86,307,0.600349032002767,-0.796690074084098,0.0697564737441255
"84","French Polynesia",105,220,-0.739942111693848,-0.620885153014846,-0.258819045102521
"85","French Southern and Antarctic Lands",133,67,0.285762657158466,0.673214631930854,-0.681998360062498
"86","Gabon",91,11.75,0.978896359117011,0.203610735515118,-0.0174524064372835
"87","Gambia",76.5,344.5,0.937005267079245,-0.25985455847442,0.233445363855905
"88","Gaza Strip",58.574926,34.373398,0.704311844961983,0.481772219270589,0.521383116129914
"89","Georgia",48.000019,43.499905,0.539059219483314,0.511546399967593,0.669130359922665
"90","Germany",38.5,10.5,0.612090571504331,0.11344428193421,0.782608156852414
"91","Ghana",82,358,0.989664824190241,-0.0345598571996383,0.139173100960066
"92","Gibraltar",53.866667,354.65,0.804128626054479,-0.0753045882657836,0.589666322377204
"93","Glorioso Islands",101.5,47.333333,0.664126333266941,0.720547458664332,-0.199367934417197
"94","Greece",51,22,0.720557188104686,0.291124001208329,0.629320391049838
"95","Greenland",18,320,0.236720751370257,-0.198632295166791,0.951056516295154
"96","Grenada",77.883333,298.333333,0.464027321452271,-0.860592459700792,0.209902985333635
"97","Guadeloupe",73.75,298.416667,0.456868595228873,-0.84437361967321,0.279829014030992
"98","Guam",76.5555556,144.7366667,-0.794131513358861,0.56151381600671,0.232502417028185
"99","Guatemala",74.5,269.75,-0.00420461770354965,-0.96362128014123,0.267238376078257
"100","Guernsey",40.416667,357.666667,0.647803846805499,-0.0263959802565105,0.761349741111334
"101","Guinea",79,350,0.966714060826796,-0.170457771554009,0.190808995376545
"102","Guinea-Bissau",78,345,0.944818029471471,-0.253163227991245,0.207911690817759
"103","Guyana",85,301,0.513078199540775,-0.853905520337057,0.0871557427476581
"104","Haiti",71,287.583333,0.28563416531428,-0.901342609892917,0.325568154457157
"105","Heard Island and McDonald Islands",143,73,0.175953684246718,0.575518568850308,-0.798635510047293
"106","Honduras",75,273.5,0.0589683609939471,-0.964124179913515,0.258819045102521
"107","Hong Kong",67.75,114.166667,-0.378909174040061,0.844424693152308,0.378648617352433
"108","Hungary",43,20,0.640868826338821,0.233257176856447,0.731353701619171
"109","Iceland",25,342,0.401933851733823,-0.130596225011076,0.90630778703665
"110","India",70,77,0.21138484580494,0.915608359793373,0.342020143325669
"111","Indonesia",95,120,-0.498097349045873,0.862729915662821,-0.0871557427476582
"112","Iran",58,53,0.51036808462243,0.677281323818523,0.529919264233205
"113","Iraq",57,44,0.603289118895764,0.58258953008089,0.544639035015027
"114","Ireland",37,352,0.595958200716442,-0.0837564629764244,0.798635510047293
"115","Isle of Man",35.75,355.5,0.582448618901743,-0.0458397004452093,0.811573981965012
"116","Israel",58.5,34.75,0.700569180208043,0.486002133341412,0.522498564715949
"117","Italy",47.166667,12.833333,0.715015985721363,0.16288515099187,0.67986805171979
"118","Jamaica",71.75,282.5,0.205552512232488,-0.927187464876182,0.31316380648375
"119","Japan",54,138,-0.601216793093016,0.54133803200073,0.587785252292473
"120","Jersey",40.783333,357.883333,0.652754687208963,-0.0241255675795131,0.757185099771314
"121","Jordan",59,36,0.69346291329051,0.503830298100049,0.515038074910054
"122","Juan de Nova Island",107.05833,42.71667,0.702394554094162,0.648529514493156,-0.293345119628971
"123","Kazakhstan",42,68,0.250660736998415,0.620407094812418,0.743144825477394
"124","Kenya",89,38,0.787890735752132,0.615567707100943,0.0174524064372834
"125","Kiribati",95,190,-0.981060262190407,-0.17298739392509,-0.0871557427476582
"126","Kosovo",47.416667,21,0.687389624675454,0.2638641549694,0.676661814801768
"127","Kuwait",60.5,47.75,0.585198280611689,0.644253063496131,0.492423560103467
"128","Kyrgyzstan",49,75,0.195333212882982,0.728993474884957,0.656059028990507
"129","Laos",72,105,-0.246151539386042,0.918650051349999,0.309016994374947
"130","Latvia",33,25,0.493610598558246,0.230174402254183,0.838670567945424
"131","Lebanon",56.166667,35.833333,0.673436036211855,0.486293214790759,0.556778963664877
"132","Lesotho",119.5,28.25,0.76668827149776,0.411956468334706,-0.492423560103467
"133","Liberia",83.5,350.5,0.979945615346446,-0.163986656029971,0.113203213767907
"134","Libya",65,17,0.866706447109482,0.264978752699396,0.422618261740699
"135","Liechtenstein",42.833333,9.533333,0.670478676060219,0.112600678052125,0.733334461382211
"136","Lithuania",34,24,0.510848136911678,0.227444244389502,0.829037572555042
"137","Luxembourg",40.25,6.166667,0.642385265021137,0.0694072644136364,0.763232469782529
"138","Macau",67.842222,113.559722,-0.370186058169068,0.848948658596251,0.37715839829556
"139","Macedonia",48.166667,22,0.690833660772327,0.279114916641728,0.666966053447989
"140","Madagascar",110,47,0.640868826338821,0.687247676595994,-0.342020143325669
"141","Malawi",103.5,34,0.806131198432029,0.543742359034796,-0.233445363855905
"142","Malaysia",87.5,112.5,-0.382319202533184,0.923000203911279,0.0436193873653362
"143","Maldives",86.8,73,0.291915828288558,0.954813651334596,0.0558215049931637
"144","Mali",73,356,0.953975245641218,-0.0667084476007171,0.292371704722737
"145","Malta",54.083333,14.433333,0.784310140920799,0.201863058769716,0.586607968197612
"146","Marshall Islands",80,167,-0.959567194103507,0.221533542366109,0.17364817766693
"147","Martinique",75.333333,299,0.469012204454178,-0.846120414640464,0.253195173732995
"148","Mauritania",70,348,0.919158082448998,-0.19537308163657,0.342020143325669
"149","Mauritius",110.3,57.583333,0.502776355467775,0.791739597374024,-0.346935651573256
"150","Mayotte",102.833333,45.166667,0.687435037304361,0.69144605916077,-0.222115773319665
"151","Mexico",67,258,-0.191383720487251,-0.900389613868328,0.390731128489274
"152","Moldova",43,29,0.596489205947411,0.330639365950525,0.731353701619171
"153","Monaco",46.266667,7.4,0.716546961221209,0.0930632016409021,0.691302895166074
"154","Mongolia",44,105,-0.179790816114671,0.670988460474225,0.719339800338651
"155","Montenegro",47.5,19.3,0.695843052062144,0.243680771237021,0.67559020761566
"156","Montserrat",73.25,297.8,0.446598489851455,-0.847049408178758,0.288196268134089
"157","Morocco",58,355,0.84482101711783,-0.0739122617062509,0.529919264233205
"158","Mozambique",108.25,35,0.777947980687737,0.544725040412575,-0.31316380648375
"159","Namibia",112,17,0.886670329774358,0.27108232415109,-0.374606593415912
"160","Nauru",90.533333,166.916667,-0.973999659166129,0.226358167120938,-0.00930828243630468
"161","Nepal",62,84,0.0922931550274174,0.878110713560914,0.469471562785891
"162","Netherlands",37.5,5.75,0.605698456989114,0.0609906275565813,0.793353340291235
"163","New Caledonia",111.5,165.5,-0.900781573008135,0.232957954443663,-0.366501226724297
"164","New Zealand",132,174,-0.739073800366903,0.0776797865924607,-0.669130606358858
"165","Nicaragua",77,275,0.0849219467074407,-0.970662292518362,0.224951054343865
"166","Niger",74,8,0.951906763192086,0.133781771057867,0.275637355816999
"167","Nigeria",80,8,0.975223671657125,0.137058748836223,0.17364817766693
"168","Niue",109.033333,190.133333,-0.93058281310609,-0.166320667333782,-0.326118174239342
"169","Norfolk Island",119.033333,167.95,-0.855072175815675,0.182531250939474,-0.48531836620544
"170","North Korea",50,127,-0.461017054271146,0.611790294549219,0.642787609686539
"171","Northern Mariana Islands",74,146,-0.796922062990846,0.537530718746963,0.275637355816999
"172","Norway",28,10,0.462339234850303,0.0815228813442158,0.882947592858927
"173","Oman",69,57,0.508464342596354,0.782966426513139,0.3583679495453
"174","Pakistan",60,70,0.296198132726024,0.813797681349374,0.5
"175","Palau",84,134,-0.690852959222318,0.715399181646631,0.104528463267653
"176","Panama",81,280,0.17151028044722,-0.972683135377854,0.156434465040231
"177","Papua New Guinea",96,147,-0.83407624282267,0.541655445394692,-0.104528463267653
"178","Paraguay",112.993333,302.003611,0.487866544531875,-0.7806401947895,-0.390624014885848
"179","Peru",100,284,0.238246558409962,-0.955554753951213,-0.17364817766693
"180","Philippines",77,122,-0.516337467821852,0.826312678392932,0.224951054343865
"181","Pitcairn Islands",115.066667,229.9,-0.583457124276853,-0.69287760960271,-0.423672517685322
"182","Poland",38,20,0.578532545265687,0.210568626030974,0.788010753606722
"183","Portugal",50.5,352,0.764115185984876,-0.107389386047088,0.636078220277764
"184","Puerto Rico",71.7517118,293.5001059,0.378696982720705,-0.870939031229933,0.313135432614229
"185","Qatar",64.5,51.25,0.564949315122501,0.703912257932433,0.430511096808295
"186","Republic of the Congo",91,15,0.965778711107158,0.258779625708333,-0.0174524064372835
"187","Reunion",111.1,55.6,0.52708796290506,0.769792554850961,-0.359996808120051
"188","Romania",44,25,0.629574290477179,0.293575313027008,0.719339800338651
"189","Russia",30,100,-0.0868240888334651,0.492403876506104,0.866025403784439
"190","Rwanda",92,30,0.865497844507677,0.499695413509548,-0.0348994967025007
"191","Saint Barthelemy",72.1,297.166667,0.43447936634773,-0.846616554121604,0.307356617799807
"192","Saint Kitts and Nevis",72.666667,297.25,0.437080777293122,-0.848644769659439,0.297930275484916
"193","Saint Lucia",76.116667,299.033333,0.47114043144083,-0.848794896130194,0.239945656691429
"194","Saint Martin",71.925,296.94167,0.430724063649664,-0.847475358777758,0.310261659341966
"195","Saint Pierre and Miquelon",43.166667,303.666667,0.379250593307313,-0.56937959788362,0.72936675341692
"196","Saint Vincent and the Grenadines",76.916667,298.8,0.469248243618477,-0.853559386440511,0.226367974060542
"197","Samoa",103.803096,187.821691,-0.962086454922936,-0.132160530788447,-0.238585932853411
"198","San Marino",46.066667,12.416667,0.703303172515949,0.154845721365837,0.693820906361069
"199","Sao Tome and Principe",89,7,0.992394982054922,0.121850782113859,0.0174524064372834
"200","Saudi Arabia",65,45,0.640856382055789,0.640856382055788,0.422618261740699
"201","Senegal",76,346,0.941473796429463,-0.234735781392946,0.241921895599668
"202","Serbia",46,21,0.67156155759657,0.257788329273688,0.694658370458997
"203","Seychelles",94.583333,55.666667,0.562202953727873,0.823129635176108,-0.0799089639183439
"204","Sierra Leone",81.5,348.5,0.969161077770241,-0.197178049784306,0.147809411129611
