External debt stocks (% of GNI),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"Congo, Dem. Rep.",,,,,,,,,,,7.03893554569691,7.2446413678335,10.8768483566214,13.2375016412808,15.997203580908,19.9589100982125,30.6696610291478,30.3547738271215,29.3583350830241,30.3132920561981,33.8453203189196,41.7624518217814,38.4002733583378,49.9051359955938,69.2256631083392,90.6422523633405,90.020249325305,125.096527525564,105.555618467537,110.493725126816,119.571412987396,130.107876567332,146.261764838189,111.959754012876,240.159827380623,271.42978862589,237.659020501301,217.018471109146,226.585446309242,279.066689228071,298.444418528471,269.147437607408,191.620237098125,205.177680569347,182.184827820746,156.820559453415,138.072561970936,128.524331921066,118.118840740421,117.753361312723,47.0825861661028,
"Congo, Rep.",,,,,,,,,,,44.5187092812869,44.7090242244243,39.1903619977237,36.2481062697321,45.7406349197183,48.4093620313025,53.1582030430471,79.5548903396881,94.7262723823337,94.4641090592847,97.6398304836007,75.9893807110434,93.8173959800443,102.335633366313,97.2143025657303,147.290822550192,184.629706368617,181.965646086805,211.091564880329,207.760918822903,210.976758241189,209.377195126147,184.269520614144,302.120381808732,350.034698045509,479.29757270429,351.602589875297,297.927683995874,337.791038780251,299.105333511058,210.179767188926,225.23597714808,230.092470825012,210.270644903661,207.839846420624,152.141484801684,128.491571432226,98.2621701349838,67.9671269251635,71.2793597997043,43.8631787885151,
Costa Rica,,,,,,,,,,,29.6233297928961,31.0827580649181,32.9945540193756,31.4879857151355,36.5264768000045,42.1885153146867,42.1340010834717,44.0085562490391,49.4030202176694,54.4261516897895,59.4560473354231,141.25062440415,165.478503811386,114.814536665716,92.9706205175048,97.2794661371924,87.7676429544055,84.9835071196854,78.8747869033457,70.766471724069,52.2740639205925,57.3220525175965,46.7809440785164,40.8109428093672,37.1949466492565,32.7518946534833,29.5248405778006,27.2044751634652,28.6160990854849,29.669617622224,31.5414736698508,30.7211548178163,30.8954698948424,33.358495261127,32.0805680319926,33.8414340397753,32.1086549550308,33.0042397009504,31.7805775530319,27.7352495253401,26.8127046076127,
Cote d'Ivoire,,,,,,,,,,,26.4367010093479,34.1189661143354,32.4259075308704,35.859456436295,35.8276049635053,39.0255110283104,40.5875887543351,42.3785935137312,50.5248875730072,54.9617671809926,77.0945818448175,102.913981071392,127.540551521175,144.038321954206,134.590556824845,153.423048816349,135.20776712027,147.633633025338,143.426690882305,177.015221768578,187.322518028694,199.242892033235,189.109573533324,197.044630850296,230.720640670967,188.746845854239,173.955684769338,141.861177921447,123.550774176843,112.155887814493,124.9403078327,116.888629172138,109.002124060242,93.5330873754615,89.4089995522689,76.1526802954742,76.9428124763344,73.3112955692019,56.0220874500299,53.0018080685909,52.6010594067619,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4190663670675,44.1689263389225,47.5375746270264,50.6868889886898,52.8972179916723,56.4253001714311,51.0151041402631,53.1585747703193,48.8117443897465,45.5125317079367,44.3026625495466,54.0794988611499,57.9869390542363,57.4249788740766,52.385813410137,54.9493314950149,72.1539866177284,65.1272894009821,67.4306277794802,,
Dominica,,,,,,,,,,,,,,,,,,,,,,21.6341738027461,28.400656642644,42.9746654385427,53.2268180881708,58.1805356511271,52.3481531556,58.950302704821,52.5086051338364,53.0244538930708,54.5000603387272,55.3404817710365,51.8080269453315,49.6701491693874,48.0162542204388,49.0408559395756,52.7849862913872,45.76592318021,46.444407003046,47.7001522347659,71.0995555616428,89.01097234732,100.351691016603,121.326775713093,120.880779793326,101.281726618705,84.2385897483277,89.0421404377131,85.1565209197135,71.243375131262,73.1669817073171,
Dominican Rep.,,,,,,,,,,,24.381383579184,24.254040271508,21.7253583573867,20.0229276620587,19.777942244753,18.712521752883,20.6174690542567,24.9433830730586,28.0223612817426,28.9271855805304,31.1764038622607,32.8845850049681,32.6933540751909,35.1909317364523,31.2022516477624,74.1148191336523,62.7378429956558,70.9687236380469,78.5656553593572,63.3641211908645,64.6873907296647,47.9547874674701,42.5269363552477,39.5760691394895,30.9114930409473,28.5287027479576,24.8801733405116,22.5164260217603,21.7145775289249,22.5986858968676,19.7822718655429,21.6050618094207,24.6848816570087,33.5923922064893,35.2463593415147,22.029059916313,25.0818467177711,25.8496485530542,23.1649758806126,24.6395742857952,26.2008258282435,
Ecuador,,,,,,,,,,,22.1386408000389,24.6872070598311,25.992466752138,21.1270906534315,17.098453442379,19.7731330152072,19.9075598614773,35.0166869066911,52.4958563394412,48.9216299958358,52.2569876387676,57.2738344012597,62.0871811895409,72.3484283579119,78.908132481855,80.7225111183365,100.268140937169,129.849321133411,134.455015508236,135.672573285313,132.38659893038,121.780136020461,110.428599524037,99.0050121496848,84.8054660145616,71.9711152227278,70.7309773729716,67.3588761751445,69.8203190417481,104.030778535067,91.2183938469981,70.3442927903139,68.2929685514483,61.1039801292843,56.7639234798603,49.1290330677168,43.4433693009011,40.6856532948357,32.7364269991693,25.1918818826916,23.0781266307861,
Egypt,,,,,,,,,,,23.648102032302,25.0112044882655,22.4534213549917,20.9805186159597,24.836482115746,43.1964883130688,48.8331911421902,82.5665341325514,90.6316159434739,87.2656492400364,89.1760005811884,101.551174659632,114.762910895021,115.055242536512,112.608925259657,114.990348221265,124.326160636234,110.343973543308,132.395930570947,116.658415896719,78.5051455854198,89.1204821249866,75.0514454071182,66.6236883563991,62.7687484964852,55.514405148095,46.2277433658014,37.7189573323656,37.5281382996055,33.67464972878,28.7882086265553,28.4880614135531,33.4693575095797,36.6842357749696,39.4691387047974,33.7512080137031,28.2889256725091,25.8245273423597,20.3224518616642,17.6103416230144,16.2406221894392,
El Salvador,,,,,,,,,,,16.2461273653541,17.5314763123125,20.1411617284599,17.1318992595917,22.0914467148591,22.3574132601831,20.7709328004671,24.8234023763874,29.5878304911769,25.8952438286292,26.1038475822912,33.8621596347623,43.9819524852942,51.6870805895078,51.9028075962979,50.2433368158454,50.9553216233846,51.7741873756497,49.0953332956205,48.9305863777318,45.6463511958266,42.1856064938953,38.7186421280433,28.2018745185962,26.2742332983921,26.6781191094561,27.5623978742468,28.7730122574281,27.5878989893515,30.2787138536221,34.6759214036633,38.985124511325,40.808371414473,55.0173486692743,55.5195822794712,56.1805001394666,56.103803517136,49.5264763366952,49.1455115248391,49.4310725312795,53.1774463853374,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.46298900755456,6.26556587914463,6.4573750806489,11.0424190492066,19.4889838802617,36.3382672701265,47.3042918961609,57.7532580195539,73.2235718449632,70.6006991998909,64.5213492726028,66.5332771575998,65.2755501977947,65.5639045466499,70.2617857911004,55.39199975602,48.1528818430956,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,25.3622501910468,42.924774984862,45.2941138460615,52.676807211391,55.5942203236417,63.0670036423061,70.9409294970234,71.7095470687053,69.4782969567392,71.9498858235183,68.7357431751328,66.7697126721669,112.11804798606,148.294592347293,136.802601676487,119.57917627396,114.744624266765,129.454504284494,71.4727350542527,67.6755811974686,70.6860419218714,84.4441733828035,85.8690378862911,66.690429262189,50.5924937101491,15.0531472808492,13.3908082639633,10.7981037620946,15.7563905817784,24.1253608860415,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,5.54262080610022,6.27785113974232,6.78294105513685,11.2332840023672,9.79733480529558,8.87257380409477,9.35334857394591,16.9816862259705,12.5271091091039,14.0774702118881,18.2591848860146,22.5656358582482,26.1186020526126,30.3634105552387,27.3576755019858,29.6855189935447,26.4929676733245,31.2547051352117,33.8820382762089,26.833864365653,23.9140884170289,20.2902253390471,16.9052575546675,15.1831789080766,10.9822737265837,9.23045876569577,7.65304845360825,7.48822731222634,8.54988515025776,10.2061672003462,10.0500704727765,9.68522194877964,9.11135206645099,7.93249549738859,9.0159243707256,6.08910186611324,11.8770210992827,11.1740460512726,10.7396692941121,15.2577884949685,15.1576413818436,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
